country,year,military_expenditures_usd_2022,military_expenditures_current_usd,share_GDP,share_govt
Croatia,2021,1340293113.2832506,1360346003.4644794,0.0196944408251845,0.0405795527050327
Croatia,2022,1282110612.8046985,1282110612.8046985,0.0179282877045625,0.0403588928618726
Croatia,2023,1290519381.7045877,1439060332.4964023,0.0177989219884811,0.0389884088514225
Czechia,1993,3125634086.5211115,815585466.9191296,0.023304040663427,
Czechia,1994,3228683776.240969,938252776.6101211,0.0228340085763757,
Czechia,1995,3096271745.8773346,1065352458.6766739,0.0184362277299768,0.0332883213268613
Czechia,1996,3071808967.9191732,1123923830.9958777,0.0173190468756652,0.039998951149802
Czechia,1997,2904634233.72972,988324331.827474,0.0166204579070562,0.0382091114100573
Czechia,1998,3152817232.135168,1166099773.2426305,0.0182593182035358,0.041675818944329
Czechia,1999,3418605728.062264,1205931869.9883132,0.0185906992321231,0.0449448971362898
Czechia,2000,3529844572.540935,1157294084.7289007,0.0187735695616487,0.0458279087375234
Czechia,2001,3395830670.7025423,1182519922.2827215,0.0175124955758828,0.0402656174464199
Czechia,2002,3624821881.643345,1494390396.6278234,0.0182440696826275,0.0407110523074874
Czechia,2003,3936500276.3638897,1885706689.3544612,0.018927640441762,0.0383556379158675
Czechia,2004,3779441776.2854757,2042085930.6298106,0.0171370317302128,0.0402694801457893
Czechia,2005,4132187002.684763,2439538514.196031,0.0177882220026107,0.0419833345305653
Czechia,2006,3817229443.6367617,2449963709.7488008,0.0156783533628009,0.0378151811574403
Czechia,2007,3683879868.0825596,2707677752.208813,0.0142371628899144,0.0352066634630786
Czechia,2008,3140797854.9758353,2918695853.371369,0.012324715671579,0.0301569365596213
Czechia,2009,3233700393.765523,2718559513.1930966,0.0131056414250743,0.0295456178058528
Czechia,2010,2933530626.141866,2497902954.713247,0.0119477218141336,0.0273841764776791
Czechia,2011,2641801159.464226,2474313259.003497,0.0107783649896869,0.0249570798326512
Czechia,2012,2539534437.436613,2220610394.5856214,0.010632168166006,0.0237988098952773
Czechia,2013,2421695503.754413,2148784401.091433,0.0101508371972556,0.0238001720508002
Czechia,2014,2409778176.6816397,2022883295.194508,0.0096622781806475,0.0226696036193622
Czechia,2015,2504927895.4640656,1779887189.389705,0.0094658209556062,0.0225730945911807
Czechia,2016,2715218623.091171,1954935000.0452807,0.0099612810262018,0.0250591301702844
Czechia,2017,2711794303.264398,2077722060.8233402,0.0095665542172635,0.0245421826450553
Czechia,2018,3197772535.4578714,2710017583.3052125,0.0108844948058138,0.0268126274766899
Czechia,2019,3523216072.9522505,2910252496.6202955,0.0115229255021757,0.02806774785081
Czechia,2020,3863830619.5615234,3252505061.818808,0.0132244994903777,0.0280068848348158
Czechia,2021,4206866148.122398,3935630965.005303,0.0139734579290544,0.0300456175796635
Czechia,2022,4005428325.6640873,4005428325.664086,0.0137852844418062,0.0308710703654568
Czechia,2023,4328591040.003098,5056277310.052805,0.0152418962408316,0.0330061492359817
Czechoslovakia,1993,,,,
Czechoslovakia,1994,,,,
Czechoslovakia,1995,,,,
Czechoslovakia,1996,,,,
Czechoslovakia,1997,,,,
Czechoslovakia,1998,,,,
Czechoslovakia,1999,,,,
Czechoslovakia,2000,,,,
Czechoslovakia,2001,,,,
Czechoslovakia,2002,,,,
Czechoslovakia,2003,,,,
Czechoslovakia,2004,,,,
Czechoslovakia,2005,,,,
Czechoslovakia,2006,,,,
Czechoslovakia,2007,,,,
Czechoslovakia,2008,,,,
Czechoslovakia,2009,,,,
Czechoslovakia,2010,,,,
