Country,Year,military_expenditures_usd,military_expenditures_pct_gdp,military_expenditures_pct_govt,Capital City,Latitude,Longitude
Poland,1996,3083.4167872111575,0.019679194008086435,0.038581884168952384,Warszawa (Warsaw),52.2298,21.0118
Romania,1996,874.4512388869796,0.023690729256337733,0.07326813365933171,Bucuresti (Bucharest),44.4328,26.1043
Serbia,1996,0.0,0.03511285895120113,,Beograd (Belgrade),44.8176,20.4633
Slovakia,1996,641.5598710590456,0.02973828667744801,0.05561898270426855,Bratislava,48.1482,17.1067
Slovenia,1996,329.97264833190235,0.015363628120904393,0.03398796498905908,Ljubljana,46.0511,14.5051
Belarus,1996,182.8056145549097,0.012606925599070054,,Minsk,53.9,27.5667
Moldova,1996,15.354611161303776,0.009066936562992381,0.020941943127962086,,,
Russia,1996,15826.3406518084,0.03756558820802818,,,,
Ukraine,1996,1464.9051364602865,0.0317883449282933,0.08615978138562932,Kyiv (Kiev),50.4454,30.5186
Austria,1996,2457.903048657642,0.010496829774227124,0.01862210229846572,Wien (Vienna),48.2064,16.3707
Belgium,1996,4241.865967615007,0.015401026514345183,0.02863815488547201,Bruxelles-Brussel,50.8467,4.3499
Cyprus,1996,448.0759093305219,0.04524714828897338,0.13789107763615296,Lefkosia (Nicosia),35.1595,33.3669
Denmark,1996,3086.2249446855917,0.016448166584560636,0.028359668292033586,København (Copenhagen),55.6759,12.5655
Finland,1996,2021.797095446426,0.01530472271213012,0.02618784159876605,Helsinki,60.1692,24.9402
France,1996,38977.734095775406,0.024144739505933537,0.0442295444506778,Paris,48.8534,2.3488
Germany,1996,36701.18977200084,0.014658584599439467,0.029738064265184633,Berlin,52.5244,13.4105
Greece,1996,4613.16757665798,0.033119132818208705,0.07015456815637648,Athínai (Athens),37.9534,23.749
Iceland,1996,0.0,,,Reykjavík,64.1355,-21.8954
Ireland,1996,750.9872458172781,0.009899271589671872,0.025697408700901134,Dublin,53.3331,-6.2489
Italy,1996,20793.128832200146,0.015884922793503658,0.030768800265918432,Roma (Rome),41.8947,12.4811
Luxembourg,1996,127.83388433315227,0.005870360474499113,0.014687807120934687,Luxembourg,49.6117,6.13
Malta,1996,33.29617481652982,0.008748123692216996,,Valletta,35.8997,14.5147
Netherlands,1996,7829.004727937707,0.017566077357140344,0.0374187824870052,Amsterdam,52.374,4.8897
Norway,1996,3537.003415604491,0.021630749742096,0.045985514754349505,Oslo,59.9127,10.7461
Portugal,1996,1964.184856090519,0.016016439289537734,0.03721001471538526,Lisboa (Lisbon),38.7169,-9.1399
Spain,1996,11294.316854756184,0.01814439016154731,0.041016367791087645,Madrid,40.4165,-3.7026
Sweden,1996,4301.745511952552,0.01484602876192917,0.02456451086416599,Stockholm,59.3326,18.0649
Switzerland,1996,4239.44790090695,0.012837568015836267,0.03780118309046314,Bern,46.9481,7.4474
United Kingdom,1996,38566.134645392056,0.02724592321983236,0.0762766298130711,London,51.5085,-0.1257
Albania,1997,29.82549199975828,0.012830807803626826,0.044246994252472825,Tiranë (Tirana),41.3275,19.8189
Bosnia and Herzegovina,1997,,,,Sarajevo,43.8486,18.3564
Bulgaria,1997,244.3693961519252,0.024307013549237966,,Sofia,42.6975,23.3242
Croatia,1997,1682.9742845901792,0.07521586423820814,0.14578046804803724,Zagreb,45.8144,15.978
Estonia,1997,53.03165217548123,0.01046772486725401,0.02874160048869884,Tallinn,59.437,24.7535
Hungary,1997,695.9724609050854,0.014766844027822551,0.029666548000474666,Budapest,47.498,19.0399
Kosovo,1997,,,,,,
Latvia,1997,37.98831314952152,0.005821149087414379,,Riga,56.946,24.1059
Lithuania,1997,75.611,0.0074711115285444885,0.02291832466928455,Vilnius,54.6892,25.2798
North Macedonia,1997,83.25417220794543,0.021282469441277665,0.06463482797168053,,,
Montenegro,1997,,,,Podgorica,42.4411,19.2636
Poland,1997,3192.276376898658,0.02031306696574969,0.04382540838796647,Warszawa (Warsaw),52.2298,21.0118
Romania,1997,1074.7857822470612,0.030176499620051866,0.08995796356842597,Bucuresti (Bucharest),44.4328,26.1043
Serbia,1997,914.3649679481758,0.03786504466618383,,Beograd (Belgrade),44.8176,20.4633
Slovakia,1997,499.52950665412015,0.022831162447775867,0.04678922185847394,Bratislava,48.1482,17.1067
Slovenia,1997,290.78527180176724,0.014013683175190928,0.03086492513539344,Ljubljana,46.0511,14.5051
Belarus,1997,249.38413942852753,0.01768966551263528,,Minsk,53.9,27.5667
Moldova,1997,17.410750976516034,0.009027725209502102,0.01964852330973883,,,
Russia,1997,17577.353180646624,0.04039809296781883,,,,
Ukraine,1997,2068.5839519568553,0.039882409038978564,0.09770887778144267,Kyiv (Kiev),50.4454,30.5186
Austria,1997,2164.802343398537,0.010464339818971281,0.019461168886456243,Wien (Vienna),48.2064,16.3707
Belgium,1997,3684.0953888761087,0.0147697579587888,0.02825233483223798,Bruxelles-Brussel,50.8467,4.3499
Cyprus,1997,534.1411886634512,0.05573910769888996,0.1636998254799302,Lefkosia (Nicosia),35.1595,33.3669
Denmark,1997,2804.3170826986607,0.016159612050650494,0.028904196812594804,København (Copenhagen),55.6759,12.5655
Finland,1997,1947.002589513444,0.015351550506601168,0.0279494936209391,Helsinki,60.1692,24.9402
France,1997,34697.90409917958,0.023754096531412684,0.04379563303914382,Paris,48.8534,2.3488
Germany,1997,31267.71040305563,0.01409301732647858,0.029104768149374325,Berlin,52.5244,13.4105
Greece,1997,4573.516492292948,0.03365868890399133,0.07310036700175522,Athínai (Athens),37.9534,23.749
Iceland,1997,0.0,,,Reykjavík,64.1355,-21.8954
Ireland,1997,765.305513303899,0.009240661273830202,0.025589843905944352,Dublin,53.3331,-6.2489
Italy,1997,20156.10225836085,0.016266927994662117,0.03279301811966824,Roma (Rome),41.8947,12.4811
Luxembourg,1997,121.13060641413054,0.006138900401258636,0.014904963970490903,Luxembourg,49.6117,6.13
Malta,1997,31.14221489118188,0.008246911936623753,,Valletta,35.8997,14.5147
Netherlands,1997,6839.136798547176,0.016592731826140326,0.036477923016685745,Amsterdam,52.374,4.8897
Norway,1997,3253.032487912461,0.02016079570744153,0.04431365827448276,Oslo,59.9127,10.7461
Portugal,1997,1803.9584241747177,0.015411569209307174,0.03635082643127714,Lisboa (Lisbon),38.7169,-9.1399
